Synthesizable,material_id,formula,crystal_system,Space Group Symbol,Space Group Number,Sites,energy_above_hull,formation_energy,predicted_stable,Volume,density,band_gap,Is Gap Direct,is_metal,Magnetic Ordering,Total Magnetization,"Bulk Modulus, Voigt","Bulk Modulus, Reuss","Bulk Modulus, VRH","Shear Modulus, Voigt","Shear Modulus, Reuss","Shear Modulus, VRH",Elastic Anisotropy,Weighted Surface Energy,Surface Anisotropy,Shape Factor,Work Function,Piezoelectric Modulus,Total Dielectric Constant,Ionic Dielectric Constant,Static Dielectric Constant
True,mp-1277600,Li5Mn3O8,Monoclinic,C2/m,12,32,0.026111960624989,-2.148940077841235,False,285.49362460427267,3.809894871683103,0.8290000000000001,False,False,FiM,14.0071023,,,,,,,,,,,,,,,
True,mp-1284734,Li5Mn3O8,Triclinic,P1,1,32,0.024967119062488,-2.150084919403736,False,285.9716796662464,3.803525920984483,1.188699999999999,False,False,AFM,4.9000000000000005e-06,,,,,,,,,,,,,,,
True,mp-1290794,Li5Mn3O8,Triclinic,P-1,2,32,0.025091993749988,-2.149960044716236,False,285.4659926221769,3.810263654478959,0.4891,False,False,FM,20.0013718,,,,,,,,,,,,,,,
True,mp-1297800,Li5Mn3O8,Monoclinic,C2/c,15,32,0.035156416874989,-2.139895621591235,False,286.6509843583679,3.794512336012801,1.1807,False,False,FM,20.0012526,,,,,,,,,,,,,,,
True,mp-1314325,Li5Mn3O8,Monoclinic,C2/c,15,32,0.039361514062489,-2.135690524403736,False,285.2143616672615,3.813625267394421,0.832199999999999,False,False,FM,20.0009306,,,,,,,,,,,,,,,
True,mp-1315117,Li5Mn3O8,Triclinic,P-1,2,32,0.025730658124989,-2.149321380341235,False,286.465447714075,3.796969948584123,0.7046,False,False,FiM,13.9935536,,,,,,,,,,,,,,,
True,mp-1316353,Li5Mn3O8,Triclinic,P1,1,32,0.043199800937489,-2.131852237528735,False,284.47379127525664,3.823553274985466,0.4465,False,False,FM,20.0018566,,,,,,,,,,,,,,,
True,mp-1638896,Li5Mn6O12,Triclinic,P1,1,23,0.027114572826088,-2.110002701054474,False,230.4165051803447,4.009266490176111,1.2066,False,False,FiM,1.0000629,,,,,,,,,,,,,,,
True,mp-756143,Li5Mn6O12,Triclinic,P-1,2,23,0.042371037173914,-2.094746236706648,False,230.09139216181856,4.014931477112172,0.0,False,True,FM,23.0000057,,,,,,,,,,,,,,,
True,mp-530177,Li5Mn7O16,Orthorhombic,Pnnm,58,56,0.0,-2.067267194185139,True,530.0250331855946,4.231115089781728,0.871,False,False,FM,40.0086139,,,,,,,,,,,,,,,
True,mp-770510,Li5MnO4,Orthorhombic,Pbca,61,80,0.043156893249999,-2.05774984070977,False,793.3017497529639,2.572804543235346,0.812,True,False,FM,32.0018746,,,,,,,,,,,,,,,
True,mp-774621,Li5MnO4,Orthorhombic,Aea2,41,20,0.041395214000001,-2.05951151995977,False,201.9500378937839,2.526627832318667,1.5718,False,False,FM,7.998771599999999,,,,,,,,,,,,,,,
True,mp-761797,Li6Mn15O32,Triclinic,P-1,2,53,0.048353985111636,-1.936551737338972,False,579.9214661222896,3.944879803278843,0.0,False,True,FiM,46.9998837,,,,,,,,,,,,,,,
True,mp-764759,Li6Mn5O12,Monoclinic,C2,5,23,0.04584020652174,-2.098388264767616,False,212.6279018050683,3.969846842927683,0.3102,False,False,FM,17.0007348,,,,,,,,,,,,,,,
True,mp-779719,Li6Mn5O12,Triclinic,P1,1,46,0.042480035869566,-2.10174843541979,False,435.9171547299681,3.8727551579018353,0.7128000000000001,False,False,FM,34.0029567,,,,,,,,,,,,,,,
True,mp-867994,Li6Mn9O20,Monoclinic,C2/m,12,70,0.021440650999985,-2.045994372896552,False,719.6081049987432,3.95089578514257,0.0,False,True,FM,57.9997619,,,,,,,,,,,,,,,
True,mp-770533,Li6MnO4,Tetragonal,P4_2/nmc,137,44,0.005511122272729,-2.050808946630094,False,397.8190855435562,2.681139287594058,3.0413,False,False,AFM,0.0,,,,,,,,,,,,,,,
True,mp-675534,Li7Mn10O24,Monoclinic,C2,5,41,0.021545537017275,-1.986158178357164,False,422.1586028620855,3.862461619963036,0.0,False,True,FiM,29.0017102,,,,,,,,,,,,,,,
True,mp-34461,Li7Mn11O24,Triclinic,P-1,2,42,0.041071630595237,-2.026475279775588,False,435.17320653070175,3.956581299624837,0.909799999999999,False,False,FM,36.0018238,,,,,,,,,,,,,,,
True,mp-690435,Li7Mn11O24,Monoclinic,C2,5,42,0.04096827345238,-2.026578636918446,False,433.3066892091026,3.973624718787242,0.8300000000000001,False,False,FM,36.0015325,,,,,,,,,,,,,,,
True,mp-757896,Li7Mn14O32,Trigonal,R3m,160,53,0.029322777063682,-1.936454344044676,False,560.4591669283288,3.939661693805748,0.0,False,True,FM,41.0000171,,,,,,,,,,,,,,,
True,mp-694974,Li7Mn16O32,Triclinic,P1,1,55,0.018882106631816,-2.026796113095089,False,592.8230177440645,4.032355322363847,0.2915,True,False,FM,55.00241,,,,,,,,,,,,,,,
True,mp-699179,Li7Mn17O32,Monoclinic,C2,5,56,0.015897938214286,-2.049996266752873,False,607.249521822487,4.086787608061159,0.0,False,True,FM,62.002429,,,,,,,,,,,,,,,
True,mp-764763,Li7Mn4O12,Triclinic,P1,1,23,0.042811459884055,-2.071085411524238,False,209.26249103866303,3.65282489279983,0.0,False,True,FM,11.0002041,,,,,,,,,,,,,,,
True,mp-1175308,Li7Mn5O12,Triclinic,P-1,2,48,0.025868082083321,-2.144123264916188,False,441.2295524811263,3.878371253915764,0.986499999999999,False,False,FiM,28.0106751,,,,,,,,,,,,,,,
True,mp-1175313,Li7Mn5O12,Triclinic,P-1,2,48,0.023691507499989,-2.146299839499521,False,441.8700877656158,3.872749163389011,1.0098,False,False,AFM,2.499999999999999e-06,,,,,,,,,,,,,,,
True,mp-1175314,Li7Mn5O12,Triclinic,P-1,2,24,0.013231291458321,-2.156760055541188,False,206.98934191174493,4.133671803861651,0.9682,False,False,FM,17.9999998,,,,,,,,,,,,,,,
True,mp-1175316,Li7Mn5O12,Triclinic,P-1,2,24,0.039423706874988,-2.130567640124522,False,220.6639171702988,3.8775075568885313,0.0,False,True,FM,18.0030375,,,,,,,,,,,,,,,
True,mp-1175317,Li7Mn5O12,Triclinic,P-1,2,48,0.028707546874987,-2.141283800124522,False,441.414607637575,3.876745316335219,0.0,False,True,FiM,30.0105157,,,,,,,,,,,,,,,
True,mp-1175318,Li7Mn5O12,Triclinic,P-1,2,48,0.042509364791655,-2.127481982207854,False,440.7910293707859,3.882229670516823,0.6867999999999991,False,False,AFM,8.410000000000002e-05,,,,,,,,,,,,,,,
